state_name,year,yield
ALABAMA,2005,33.0
ARKANSAS,2005,34.0
DELAWARE,2005,26.0
FLORIDA,2005,32.0
GEORGIA,2005,26.0
ILLINOIS,2005,46.5
INDIANA,2005,49.0
IOWA,2005,52.5
KANSAS,2005,37.0
KENTUCKY,2005,43.0
LOUISIANA,2005,34.0
MARYLAND,2005,34.0
MICHIGAN,2005,38.5
MINNESOTA,2005,45.5
MISSISSIPPI,2005,36.5
MISSOURI,2005,37.0
NEBRASKA,2005,50.5
NEW JERSEY,2005,28.0
NEW YORK,2005,42.0
NORTH CAROLINA,2005,27.0
NORTH DAKOTA,2005,36.5
OHIO,2005,45.0
OKLAHOMA,2005,26.0
PENNSYLVANIA,2005,41.0
SOUTH CAROLINA,2005,20.5
SOUTH DAKOTA,2005,35.0
TENNESSEE,2005,38.0
TEXAS,2005,26.0
VIRGINIA,2005,30.5
WEST VIRGINIA,2005,35.0
WISCONSIN,2005,44.0
ALABAMA,2006,20.0
ARKANSAS,2006,35.0
DELAWARE,2006,31.5
FLORIDA,2006,27.0
GEORGIA,2006,25.0
ILLINOIS,2006,48.0
INDIANA,2006,50.0
IOWA,2006,50.5
KANSAS,2006,32.0
KENTUCKY,2006,44.0
LOUISIANA,2006,36.0
MARYLAND,2006,34.0
MICHIGAN,2006,46.0
MINNESOTA,2006,44.5
MISSISSIPPI,2006,26.0
MISSOURI,2006,38.0
NEBRASKA,2006,50.0
NEW JERSEY,2006,35.0
NEW YORK,2006,46.0
NORTH CAROLINA,2006,32.0
NORTH DAKOTA,2006,31.5
OHIO,2006,47.0
OKLAHOMA,2006,17.0
PENNSYLVANIA,2006,40.0
SOUTH CAROLINA,2006,29.0
SOUTH DAKOTA,2006,34.0
TENNESSEE,2006,39.0
TEXAS,2006,24.0
VIRGINIA,2006,31.0
WEST VIRGINIA,2006,42.0
WISCONSIN,2006,44.0
ALABAMA,2007,21.0
ARKANSAS,2007,36.0
DELAWARE,2007,26.0
FLORIDA,2007,24.0
GEORGIA,2007,30.0
ILLINOIS,2007,43.5
INDIANA,2007,46.0
IOWA,2007,52.0
KANSAS,2007,33.0
KENTUCKY,2007,27.5
LOUISIANA,2007,43.0
MARYLAND,2007,27.5
MICHIGAN,2007,40.0
MINNESOTA,2007,42.5
MISSISSIPPI,2007,40.5
MISSOURI,2007,37.5
NEBRASKA,2007,51.0
NEW JERSEY,2007,31.0
NEW YORK,2007,39.0
NORTH CAROLINA,2007,22.0
NORTH DAKOTA,2007,35.5
OHIO,2007,47.0
OKLAHOMA,2007,26.0
PENNSYLVANIA,2007,41.0
SOUTH CAROLINA,2007,18.5
SOUTH DAKOTA,2007,42.0
TENNESSEE,2007,19.0
TEXAS,2007,37.5
VIRGINIA,2007,27.5
WEST VIRGINIA,2007,33.0
WISCONSIN,2007,40.5
ALABAMA,2008,35.0
ARKANSAS,2008,38.0
DELAWARE,2008,27.5
FLORIDA,2008,38.0
GEORGIA,2008,31.0
ILLINOIS,2008,47.0
INDIANA,2008,45.0
IOWA,2008,46.5
KANSAS,2008,37.0
KENTUCKY,2008,34.5
LOUISIANA,2008,33.0
MARYLAND,2008,30.0
MICHIGAN,2008,37.0
MINNESOTA,2008,38.0
MISSISSIPPI,2008,40.0
MISSOURI,2008,38.0
NEBRASKA,2008,46.5
NEW JERSEY,2008,30.0
NEW YORK,2008,46.0
NORTH CAROLINA,2008,33.0
NORTH DAKOTA,2008,28.0
OHIO,2008,36.0
OKLAHOMA,2008,25.0
PENNSYLVANIA,2008,40.0
SOUTH CAROLINA,2008,32.0
SOUTH DAKOTA,2008,34.0
TENNESSEE,2008,34.0
TEXAS,2008,24.5
VIRGINIA,2008,32.0
WEST VIRGINIA,2008,41.0
WISCONSIN,2008,35.0
ALABAMA,2009,40.0
ARKANSAS,2009,37.5
DELAWARE,2009,42.0
FLORIDA,2009,38.0
GEORGIA,2009,36.0
ILLINOIS,2009,46.0
INDIANA,2009,49.0
IOWA,2009,51.0
KANSAS,2009,44.5
KENTUCKY,2009,48.0
LOUISIANA,2009,39.0
MARYLAND,2009,42.0
MICHIGAN,2009,40.0
MINNESOTA,2009,40.0
MISSISSIPPI,2009,38.0
MISSOURI,2009,43.5
NEBRASKA,2009,54.5
NEW JERSEY,2009,42.0
NEW YORK,2009,43.0
NORTH CAROLINA,2009,34.0
NORTH DAKOTA,2009,30.0
OHIO,2009,49.0
OKLAHOMA,2009,31.0
PENNSYLVANIA,2009,46.0
SOUTH CAROLINA,2009,24.5
SOUTH DAKOTA,2009,42.0
TENNESSEE,2009,45.0
TEXAS,2009,25.5
VIRGINIA,2009,37.0
WEST VIRGINIA,2009,41.0
WISCONSIN,2009,40.0
ALABAMA,2010,26.0
ARKANSAS,2010,35.0
DELAWARE,2010,32.0
FLORIDA,2010,30.0
GEORGIA,2010,26.0
ILLINOIS,2010,51.5
INDIANA,2010,48.5
IOWA,2010,51.0
KANSAS,2010,33.0
KENTUCKY,2010,34.0
LOUISIANA,2010,41.0
MARYLAND,2010,34.0
MICHIGAN,2010,43.5
MINNESOTA,2010,45.0
MISSISSIPPI,2010,38.5
MISSOURI,2010,41.5
NEBRASKA,2010,52.5
NEW JERSEY,2010,24.0
NEW YORK,2010,48.0
NORTH CAROLINA,2010,26.0
NORTH DAKOTA,2010,34.0
OHIO,2010,48.0
OKLAHOMA,2010,25.0
PENNSYLVANIA,2010,42.0
SOUTH CAROLINA,2010,23.0
SOUTH DAKOTA,2010,38.0
TENNESSEE,2010,31.0
TEXAS,2010,30.0
VIRGINIA,2010,26.0
WEST VIRGINIA,2010,30.0
WISCONSIN,2010,50.5
ALABAMA,2011,33.0
ARKANSAS,2011,38.5
DELAWARE,2011,39.5
FLORIDA,2011,27.0
GEORGIA,2011,22.0
ILLINOIS,2011,47.5
INDIANA,2011,45.5
IOWA,2011,51.5
KANSAS,2011,27.5
KENTUCKY,2011,39.0
LOUISIANA,2011,36.0
MARYLAND,2011,39.0
MICHIGAN,2011,44.5
MINNESOTA,2011,39.0
MISSISSIPPI,2011,39.0
MISSOURI,2011,36.5
NEBRASKA,2011,54.0
NEW JERSEY,2011,38.0
NEW YORK,2011,43.0
NORTH CAROLINA,2011,30.5
NORTH DAKOTA,2011,29.0
OHIO,2011,48.0
OKLAHOMA,2011,13.0
PENNSYLVANIA,2011,44.0
SOUTH CAROLINA,2011,25.5
SOUTH DAKOTA,2011,37.0
TENNESSEE,2011,32.0
TEXAS,2011,19.0
VIRGINIA,2011,40.0
WEST VIRGINIA,2011,43.0
WISCONSIN,2011,47.0
ALABAMA,2012,45.0
ARKANSAS,2012,43.5
DELAWARE,2012,42.5
FLORIDA,2012,39.0
GEORGIA,2012,37.5
ILLINOIS,2012,43.0
INDIANA,2012,44.0
IOWA,2012,45.0
KANSAS,2012,23.0
KENTUCKY,2012,40.0
LOUISIANA,2012,46.5
MARYLAND,2012,47.0
MICHIGAN,2012,43.0
MINNESOTA,2012,43.5
MISSISSIPPI,2012,45.0
MISSOURI,2012,30.0
NEBRASKA,2012,41.5
NEW JERSEY,2012,39.0
NEW YORK,2012,46.0
NORTH CAROLINA,2012,39.5
NORTH DAKOTA,2012,34.5
OHIO,2012,45.0
OKLAHOMA,2012,15.0
PENNSYLVANIA,2012,48.0
SOUTH CAROLINA,2012,34.0
SOUTH DAKOTA,2012,30.5
TENNESSEE,2012,38.0
TEXAS,2012,26.0
VIRGINIA,2012,42.0
WEST VIRGINIA,2012,49.0
WISCONSIN,2012,42.0
ALABAMA,2013,43.5
ARKANSAS,2013,43.5
DELAWARE,2013,40.5
FLORIDA,2013,41.0
GEORGIA,2013,40.5
ILLINOIS,2013,50.0
INDIANA,2013,51.5
IOWA,2013,45.5
KANSAS,2013,37.0
KENTUCKY,2013,50.0
LOUISIANA,2013,48.5
MARYLAND,2013,39.5
MICHIGAN,2013,44.5
MINNESOTA,2013,42.0
MISSISSIPPI,2013,46.0
MISSOURI,2013,36.0
NEBRASKA,2013,53.5
NEW JERSEY,2013,39.5
NEW YORK,2013,48.0
NORTH CAROLINA,2013,33.5
NORTH DAKOTA,2013,30.5
OHIO,2013,49.5
OKLAHOMA,2013,30.5
PENNSYLVANIA,2013,49.0
SOUTH CAROLINA,2013,28.5
SOUTH DAKOTA,2013,40.5
TENNESSEE,2013,46.5
TEXAS,2013,25.5
VIRGINIA,2013,38.5
WEST VIRGINIA,2013,46.5
WISCONSIN,2013,39.0
ALABAMA,2014,40.0
ARKANSAS,2014,49.5
DELAWARE,2014,47.5
FLORIDA,2014,43.0
GEORGIA,2014,40.0
ILLINOIS,2014,56.0
INDIANA,2014,55.5
IOWA,2014,51.0
KANSAS,2014,35.5
KENTUCKY,2014,47.5
LOUISIANA,2014,56.5
MARYLAND,2014,46.0
MICHIGAN,2014,42.5
MINNESOTA,2014,41.5
MISSISSIPPI,2014,52.0
MISSOURI,2014,46.5
NEBRASKA,2014,54.0
NEW JERSEY,2014,44.0
NEW YORK,2014,44.5
NORTH CAROLINA,2014,40.0
NORTH DAKOTA,2014,34.5
OHIO,2014,52.5
OKLAHOMA,2014,28.0
PENNSYLVANIA,2014,49.0
SOUTH CAROLINA,2014,35.0
SOUTH DAKOTA,2014,45.0
TENNESSEE,2014,46.0
TEXAS,2014,38.5
VIRGINIA,2014,39.5
WEST VIRGINIA,2014,51.0
WISCONSIN,2014,44.0
OTHER STATES,2015,0.0
ALABAMA,2015,41.0
ARKANSAS,2015,49.0
DELAWARE,2015,40.0
FLORIDA,2015,38.0
GEORGIA,2015,43.0
ILLINOIS,2015,56.0
INDIANA,2015,50.0
IOWA,2015,56.5
KANSAS,2015,38.5
KENTUCKY,2015,49.0
LOUISIANA,2015,41.0
MARYLAND,2015,40.0
MICHIGAN,2015,49.0
MINNESOTA,2015,50.0
MISSISSIPPI,2015,46.0
MISSOURI,2015,40.5
NEBRASKA,2015,58.0
NEW JERSEY,2015,32.0
NEW YORK,2015,43.0
NORTH CAROLINA,2015,32.0
NORTH DAKOTA,2015,32.5
OHIO,2015,50.0
OKLAHOMA,2015,31.0
PENNSYLVANIA,2015,44.0
SOUTH CAROLINA,2015,26.5
SOUTH DAKOTA,2015,46.0
TENNESSEE,2015,46.0
TEXAS,2015,26.0
VIRGINIA,2015,34.5
WEST VIRGINIA,2015,48.0
WISCONSIN,2015,49.5
OTHER STATES,2016,0.0
ALABAMA,2016,32.0
ARKANSAS,2016,47.0
DELAWARE,2016,41.5
FLORIDA,2016,36.0
GEORGIA,2016,30.0
ILLINOIS,2016,59.0
INDIANA,2016,57.5
IOWA,2016,60.0
KANSAS,2016,48.0
KENTUCKY,2016,50.0
LOUISIANA,2016,48.5
MARYLAND,2016,41.5
MICHIGAN,2016,50.5
MINNESOTA,2016,52.0
MISSISSIPPI,2016,48.0
MISSOURI,2016,49.0
NEBRASKA,2016,61.0
NEW JERSEY,2016,36.0
NEW YORK,2016,41.0
NORTH CAROLINA,2016,35.0
NORTH DAKOTA,2016,41.5
OHIO,2016,54.5
OKLAHOMA,2016,29.0
PENNSYLVANIA,2016,44.0
SOUTH CAROLINA,2016,31.0
SOUTH DAKOTA,2016,49.5
TENNESSEE,2016,45.0
TEXAS,2016,31.0
VIRGINIA,2016,36.0
WEST VIRGINIA,2016,51.0
WISCONSIN,2016,55.0
OTHER STATES,2017,0.0
ALABAMA,2017,46.0
ARKANSAS,2017,51.0
DELAWARE,2017,51.0
FLORIDA,2017,34.0
GEORGIA,2017,42.0
ILLINOIS,2017,58.0
INDIANA,2017,54.0
IOWA,2017,57.0
KANSAS,2017,37.5
KENTUCKY,2017,53.0
LOUISIANA,2017,54.0
MARYLAND,2017,51.0
MICHIGAN,2017,42.5
MINNESOTA,2017,47.5
MISSISSIPPI,2017,53.0
MISSOURI,2017,49.5
NEBRASKA,2017,57.5
NEW JERSEY,2017,45.0
NEW YORK,2017,45.0
NORTH CAROLINA,2017,40.0
NORTH DAKOTA,2017,34.5
OHIO,2017,49.5
OKLAHOMA,2017,29.0
PENNSYLVANIA,2017,48.0
SOUTH CAROLINA,2017,38.0
SOUTH DAKOTA,2017,43.0
TENNESSEE,2017,50.0
TEXAS,2017,37.0
VIRGINIA,2017,44.0
WEST VIRGINIA,2017,54.0
WISCONSIN,2017,47.5
OTHER STATES,2018,0.0
ALABAMA,2018,40.0
ARKANSAS,2018,50.5
DELAWARE,2018,41.5
FLORIDA,2018,37.0
GEORGIA,2018,39.5
ILLINOIS,2018,63.5
INDIANA,2018,57.5
IOWA,2018,56.0
KANSAS,2018,43.0
KENTUCKY,2018,51.0
LOUISIANA,2018,51.5
MARYLAND,2018,47.5
MICHIGAN,2018,47.5
MINNESOTA,2018,49.0
MISSISSIPPI,2018,54.0
MISSOURI,2018,44.5
NEBRASKA,2018,58.0
NEW JERSEY,2018,39.5
NEW YORK,2018,52.0
NORTH CAROLINA,2018,33.0
NORTH DAKOTA,2018,35.0
OHIO,2018,56.0
OKLAHOMA,2018,28.0
PENNSYLVANIA,2018,44.5
SOUTH CAROLINA,2018,29.0
SOUTH DAKOTA,2018,45.0
TENNESSEE,2018,45.5
TEXAS,2018,31.5
VIRGINIA,2018,42.0
WEST VIRGINIA,2018,53.0
WISCONSIN,2018,48.0
ALABAMA,2019,36.0
ARKANSAS,2019,49.0
DELAWARE,2019,47.0
GEORGIA,2019,29.0
ILLINOIS,2019,54.0
INDIANA,2019,51.0
IOWA,2019,55.0
KANSAS,2019,41.5
KENTUCKY,2019,46.0
LOUISIANA,2019,48.0
MARYLAND,2019,44.0
MICHIGAN,2019,40.5
MINNESOTA,2019,44.0
MISSISSIPPI,2019,50.0
MISSOURI,2019,46.0
NEBRASKA,2019,58.5
NEW JERSEY,2019,37.0
NEW YORK,2019,48.0
NORTH CAROLINA,2019,35.0
NORTH DAKOTA,2019,31.5
OHIO,2019,49.0
OKLAHOMA,2019,29.0
PENNSYLVANIA,2019,49.0
SOUTH CAROLINA,2019,26.0
SOUTH DAKOTA,2019,42.5
TENNESSEE,2019,47.0
TEXAS,2019,28.0
VIRGINIA,2019,34.0
WISCONSIN,2019,47.0
ALABAMA,2020,41.0
ARKANSAS,2020,51.5
DELAWARE,2020,49.0
GEORGIA,2020,41.0
ILLINOIS,2020,60.0
INDIANA,2020,59.0
IOWA,2020,54.0
KANSAS,2020,41.0
KENTUCKY,2020,55.0
LOUISIANA,2020,53.0
MARYLAND,2020,47.0
MICHIGAN,2020,48.0
MINNESOTA,2020,50.0
MISSISSIPPI,2020,54.0
MISSOURI,2020,51.0
NEBRASKA,2020,58.0
NEW JERSEY,2020,46.0
NEW YORK,2020,51.0
NORTH CAROLINA,2020,38.0
NORTH DAKOTA,2020,34.0
OHIO,2020,55.0
OKLAHOMA,2020,30.0
PENNSYLVANIA,2020,46.0
SOUTH CAROLINA,2020,35.0
SOUTH DAKOTA,2020,46.0
TENNESSEE,2020,50.0
TEXAS,2020,34.0
VIRGINIA,2020,42.0
WISCONSIN,2020,52.0
ALABAMA,2021,46.0
ARKANSAS,2021,52.0
DELAWARE,2021,51.0
GEORGIA,2021,46.0
ILLINOIS,2021,65.0
INDIANA,2021,60.0
IOWA,2021,63.0
KANSAS,2021,40.0
KENTUCKY,2021,56.0
LOUISIANA,2021,52.0
MARYLAND,2021,53.0
MICHIGAN,2021,51.0
MINNESOTA,2021,47.0
MISSISSIPPI,2021,54.0
MISSOURI,2021,49.0
NEBRASKA,2021,63.0
NEW JERSEY,2021,46.0
NEW YORK,2021,53.0
NORTH CAROLINA,2021,40.0
NORTH DAKOTA,2021,25.5
OHIO,2021,57.0
OKLAHOMA,2021,23.0
PENNSYLVANIA,2021,53.0
SOUTH CAROLINA,2021,38.0
SOUTH DAKOTA,2021,40.0
TENNESSEE,2021,50.0
TEXAS,2021,38.0
VIRGINIA,2021,46.0
WISCONSIN,2021,55.0
ALABAMA,2022,41.0
ARKANSAS,2022,52.0
DELAWARE,2022,43.0
GEORGIA,2022,41.0
ILLINOIS,2022,63.0
INDIANA,2022,57.5
IOWA,2022,58.5
KANSAS,2022,27.5
KENTUCKY,2022,51.0
LOUISIANA,2022,47.0
MARYLAND,2022,43.0
MICHIGAN,2022,47.0
MINNESOTA,2022,50.0
MISSISSIPPI,2022,54.0
MISSOURI,2022,45.5
NEBRASKA,2022,49.0
NEW JERSEY,2022,28.0
NEW YORK,2022,45.0
NORTH CAROLINA,2022,38.5
NORTH DAKOTA,2022,35.0
OHIO,2022,55.5
OKLAHOMA,2022,17.0
PENNSYLVANIA,2022,43.0
SOUTH CAROLINA,2022,37.0
SOUTH DAKOTA,2022,38.0
TENNESSEE,2022,48.0
TEXAS,2022,20.0
VIRGINIA,2022,41.0
WISCONSIN,2022,54.0
